grupo_edad_agrupado,total_casos,porcentaje,registros
De 45 A 65 Años,47929,19.747435210745333,1991
De 25 A 34 Años,44312,18.257179349841373,1986
De 35 A 44 Años,36324,14.966008817106836,1830
De 20 A 24 Años,21018,8.659717358164064,1577
De 10 A 14 Años,20697,8.527460755634296,1404
De 15 A 19 Años,20489,8.441761773309711,1477
De 5 A 9 Años,14897,6.137777594660294,1260
Mayores De 65 Años,14643,6.0331259527831564,1350
De 2 A 4 Años,4793,1.9747847225083432,735
De 25 A 34 Anos,2995,1.2339829426064028,503
De 45 A 65 Anos,2929,1.206789996291871,482
De 35 A 44 Anos,2482,1.0226195871616333,474
De 20 A 24 Anos,1702,0.70124840344444,384
De 15 A 19 Anos,1641,0.6761155288204029,378
De 10 A 14 Anos,1522,0.627085822586626,340
De 13 A 24 Meses,1252,0.5158419512999052,409
Posneonato (29 Hasta 365 Días),1057,0.43549915537060685,400
De 5 A 9 Anos,827,0.34073585760784475,244
Mayores De 65 Anos,747,0.3077747105599275,250
De 2 A 4 Anos,242,0.09970746981994973,136
Neonato (Hasta 28 Días),94,0.03872934778130279,77
Posneonato (De 29 A 365 Días),39,0.016068559185859668,32
De 45 A 64 Anos,37,0.015244530509661737,10
Posneonato (29 Hasta 365 Dias),20,0.008240286761979316,16
De 15 A 24 Anos,18,0.007416258085781385,5
Menor Que 1 Ano,2,8.240286761979316e-4,2
Mayor De  65 Anos,1,4.120143380989658e-4,1
Neonato (Hasta 28 Dias),1,4.120143380989658e-4,1
